District Name,Market Name,Variety,Price Date,Price Date,Modal Price (Rs./Quintal)
Hingoli,Akhadabalapur,Desi,Mar,2017,5350
Hingoli,Akhadabalapur,Desi,Feb,2018,4900
Hingoli,Akhadabalapur,Desi,Feb,2017,5350
Hingoli,Akhadabalapur,Desi,Dec,2017,4500
Hingoli,Akhadabalapur,Desi,Jan,2017,5150
Hingoli,Akhadabalapur,Desi,Feb,2017,5350
Hingoli,Akhadabalapur,Desi,Dec,2017,4500
Hingoli,Akhadabalapur,Desi,Feb,2018,4950
Hingoli,Akhadabalapur,Desi,Dec,2017,4500
Hingoli,Akhadabalapur,Desi,Apr,2017,5150
Hingoli,Akhadabalapur,Desi,Mar,2017,5350
Hingoli,Akhadabalapur,Desi,Jan,2017,5400
Hingoli,Akhadabalapur,Desi,Feb,2017,5550
Hingoli,Akhadabalapur,Desi,Mar,2017,5450
Hingoli,Akhadabalapur,Desi,Apr,2017,5350
Hingoli,Akhadabalapur,Desi,Mar,2017,5525
Hingoli,Akhadabalapur,Desi,Jan,2017,5300
Hingoli,Akhadabalapur,Desi,Feb,2018,5000
Hingoli,Akhadabalapur,Desi,Feb,2017,5500
Hingoli,Akhadabalapur,Desi,Nov,2017,4150
Hingoli,Akhadabalapur,Desi,Feb,2018,4950
Hingoli,Akhadabalapur,Desi,Feb,2017,5500
Hingoli,Akhadabalapur,Desi,Dec,2017,4400
Hingoli,Akhadabalapur,Desi,Nov,2017,4150
Hingoli,Akhadabalapur,Desi,Mar,2017,5550
Hingoli,Akhadabalapur,Desi,Jan,2017,5150
Hingoli,Akhadabalapur,Desi,Feb,2018,4950
Hingoli,Akhadabalapur,Desi,Dec,2017,4400
Hingoli,Akhadabalapur,Desi,Nov,2017,4150
Hingoli,Akhadabalapur,Desi,Mar,2018,4300
Hingoli,Akhadabalapur,Desi,Mar,2017,5475
Hingoli,Akhadabalapur,Desi,Feb,2017,5500
Hingoli,Akhadabalapur,Desi,Dec,2017,4400
Hingoli,Akhadabalapur,Desi,Apr,2017,5450
Hingoli,Akhadabalapur,Desi,Jan,2017,5150
Hingoli,Akhadabalapur,Desi,Dec,2017,4475
Hingoli,Akhadabalapur,Desi,Nov,2017,4125
Hingoli,Akhadabalapur,Desi,Mar,2017,5450
Hingoli,Akhadabalapur,Desi,Dec,2017,4350
Hingoli,Akhadabalapur,Desi,Nov,2017,4050
Hingoli,Akhadabalapur,Desi,Mar,2018,4250
Hingoli,Akhadabalapur,Desi,Mar,2017,5450
Hingoli,Akhadabalapur,Desi,Apr,2017,5450
Hingoli,Akhadabalapur,Desi,Nov,2017,4025
Hingoli,Akhadabalapur,Desi,May,2017,4450
Hingoli,Akhadabalapur,Desi,Mar,2017,5250
Hingoli,Akhadabalapur,Desi,Jan,2017,4950
Hingoli,Akhadabalapur,Desi,Dec,2017,4350
Hingoli,Akhadabalapur,Desi,Nov,2017,4050
Hingoli,Akhadabalapur,Desi,Mar,2017,5350
Hingoli,Akhadabalapur,Desi,Feb,2017,5500
Hingoli,Akhadabalapur,Desi,Dec,2017,4325
Nandurbar,Akkalkuwa,Other,Nov,2017,4235
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5100
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5720
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5100
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5785
Akola,Akot,H-4(A) 27mm FIne,Dec,2017,5300
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5100
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,4950
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5693
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5710
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5200
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5765
Akola,Akot,H-4(A) 27mm FIne,Dec,2017,5500
Akola,Akot,H-4(A) 27mm FIne,Dec,2017,5400
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5800
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5200
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5855
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5400
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5933
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5823
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5250
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5765
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5678
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5250
